1024 11781
344 768 4
344 769 3
344 770 5
344 771 6
344 772 5
344 773 4
344 774 6
344 775 4
344 776 5
344 777 5
344 778 5
345 757 5
345 758 3
345 759 4
345 760 4
345 761 4
345 762 4
345 763 3
345 764 4
345 765 5
345 766 5
345 767 5
345 768 4
345 769 4
345 770 5
345 771 6
345 772 5
345 773 4
345 774 4
345 775 5
345 776 3
345 777 5
345 778 6
345 779 4
346 757 5
346 758 4
346 759 5
346 760 4
346 761 4
346 762 3
346 763 5
346 764 4
346 765 5
346 766 4
346 767 3
346 768 3
346 769 4
346 770 4
346 771 5
346 772 4
346 773 5
346 774 4
346 775 5
346 776 4
346 777 4
346 778 4
346 779 5
346 780 5
347 757 3
347 758 4
347 759 4
347 760 4
347 761 5
347 762 3
347 763 3
347 764 4
347 765 5
347 766 6
347 767 5
347 768 4
347 769 5
347 770 4
347 771 5
347 772 3
347 773 5
347 774 4
347 775 3
347 776 4
347 777 6
347 778 5
347 779 4
347 780 4
347 781 5
348 757 5
348 758 5
348 759 4
348 760 4
348 761 4
348 762 4
348 763 5
348 764 5
348 765 4
348 766 4
348 767 5
348 768 6
348 769 4
348 770 5
348 771 6
348 772 6
348 773 5
348 774 4
348 775 4
348 776 4
348 777 5
348 778 6
348 779 4
348 780 5
348 781 6
348 782 3
349 757 5
349 758 4
349 759 4
349 760 5
349 761 4
349 762 4
349 763 5
349 764 4
349 765 3
349 766 5
349 767 5
349 768 4
349 769 4
349 770 6
349 771 5
349 772 4
349 773 5
349 774 3
349 775 4
349 776 6
349 777 5
349 778 4
349 779 3
349 780 5
349 781 5
349 782 5
349 783 5
350 757 4
350 758 3
350 759 4
350 760 4
350 761 6
350 762 4
350 763 4
350 764 5
350 765 5
350 766 4
350 767 6
350 768 4
350 769 4
350 770 5
350 771 4
350 772 4
350 773 4
350 774 5
350 775 5
350 776 5
350 777 5
350 778 4
350 779 4
350 780 5
350 781 5
350 782 5
350 783 4
350 784 5
351 757 5
351 758 4
351 759 4
351 760 5
351 761 4
351 762 4
351 763 3
351 764 5
351 765 4
351 766 5
351 767 4
351 768 5
351 769 4
351 770 5
351 771 4
351 772 5
351 773 4
351 774 5
351 775 3
351 776 4
351 777 4
351 778 5
351 779 4
351 780 5
351 781 2
351 782 5
351 783 5
351 784 4
351 785 5
352 757 5
352 758 3
352 759 4
352 760 5
352 761 3
352 762 4
352 763 4
352 764 4
352 765 6
352 766 6
352 767 3
352 768 3
352 769 4
352 770 6
352 771 4
352 772 5
352 773 4
352 774 4
352 775 5
352 776 4
352 777 5
352 778 4
352 779 4
352 780 4
352 781 4
352 782 4
352 783 4
352 784 4
352 785 5
352 786 4
353 757 5
353 758 5
353 759 4
353 760 5
353 761 4
353 762 5
353 763 5
353 764 4
353 765 3
353 766 4
353 767 6
353 768 5
353 769 4
353 770 4
353 771 5
353 772 4
353 773 4
353 774 4
353 775 5
353 776 4
353 777 5
353 778 4
353 779 5
353 780 5
353 781 4
353 782 4
353 783 6
353 784 5
353 785 4
353 786 5
353 787 4
354 757 5
354 758 5
354 759 5
354 760 4
354 761 5
354 762 4
354 763 4
354 764 5
354 765 4
354 766 4
354 767 5
354 768 5
354 769 6
354 770 5
354 771 4
354 772 5
354 773 5
354 774 5
354 775 4
354 776 5
354 777 4
354 778 4
354 779 3
354 780 4
354 781 4
354 782 3
354 783 5
354 784 3
354 785 4
354 786 6
354 787 4
354 788 4
355 757 4
355 758 5
355 759 4
355 760 4
355 761 4
355 762 5
355 763 3
355 764 3
355 765 6
355 766 3
355 767 5
355 768 5
355 769 4
355 770 4
355 771 5
355 772 5
355 773 4
355 774 3
355 775 5
355 776 4
355 777 4
355 778 5
355 779 3
355 780 5
355 781 5
355 782 5
355 783 4
355 784 4
355 785 5
355 786 5
355 787 5
355 788 4
355 789 5
356 757 4
356 758 5
356 759 5
356 760 3
356 761 4
356 762 5
356 763 5
356 764 5
356 765 5
356 766 5
356 767 4
356 768 5
356 769 5
356 770 5
356 771 3
356 772 5
356 773 5
356 774 4
356 775 5
356 776 4
356 777 4
356 778 4
356 779 5
356 780 5
356 781 4
356 782 5
356 783 3
356 784 4
356 785 7
356 786 4
356 787 5
356 788 5
356 789 4
356 790 3
357 757 3
357 758 4
357 759 4
357 760 3
357 761 5
357 762 4
357 763 5
357 764 4
357 765 5
357 766 5
357 767 3
357 768 5
357 769 4
357 770 3
357 771 5
357 772 5
357 773 6
357 774 5
357 775 5
357 776 5
357 777 4
357 778 5
357 779 6
357 780 6
357 781 3
357 782 6
357 783 4
357 784 6
357 785 3
357 786 4
357 787 5
357 788 5
357 789 6
357 790 6
357 791 4
358 757 4
358 758 3
358 759 4
358 760 5
358 761 6
358 762 5
358 763 4
358 764 5
358 765 5
358 766 5
358 767 4
358 768 5
358 769 5
358 770 4
358 771 4
358 772 4
358 773 5
358 774 6
358 775 4
358 776 4
358 777 4
358 778 4
358 779 6
358 780 4
358 781 3
358 782 4
358 783 6
358 784 4
358 785 5
358 786 4
358 787 4
358 788 5
358 789 4
358 790 5
358 791 3
358 792 6
359 757 4
359 758 5
359 759 4
359 760 4
359 761 4
359 762 4
359 763 4
359 764 6
359 765 4
359 766 4
359 767 6
359 768 5
359 769 4
359 770 5
359 771 4
359 772 4
359 773 4
359 774 4
359 775 5
359 776 5
359 777 4
359 778 5
359 779 5
359 780 3
359 781 5
359 782 4
359 783 6
359 784 5
359 785 5
359 786 4
359 787 5
359 788 5
359 789 5
359 790 4
359 791 6
359 792 4
359 793 4
360 757 3
360 758 4
360 759 5
360 760 4
360 761 5
360 762 4
360 763 5
360 764 2
360 765 5
360 766 5
360 767 5
360 768 4
360 769 4
360 770 5
360 771 4
360 772 4
360 773 4
360 774 5
360 775 4
360 776 4
360 777 3
360 778 5
360 779 3
360 780 3
360 781 3
360 782 5
360 783 3
360 784 5
360 785 5
360 786 4
360 787 5
360 788 4
360 789 4
360 790 6
360 791 5
360 792 4
360 793 4
360 794 5
361 757 6
361 758 5
361 759 5
361 760 4
361 761 5
361 762 4
361 763 6
361 764 5
361 765 4
361 766 4
361 767 5
361 768 4
361 769 5
361 770 5
361 771 4
361 772 4
361 773 5
361 774 5
361 775 4
361 776 4
361 777 5
361 778 5
361 779 5
361 780 4
361 781 5
361 782 5
361 783 4
361 784 4
361 785 6
361 786 5
361 787 6
361 788 5
361 789 5
361 790 5
361 791 5
361 792 4
361 793 5
361 794 4
361 795 5
362 757 3
362 758 4
362 759 3
362 760 4
362 761 3
362 762 4
362 763 5
362 764 5
362 765 4
362 766 4
362 767 4
362 768 4
362 769 5
362 770 6
362 771 4
362 772 5
362 773 4
362 774 6
362 775 5
362 776 4
362 777 5
362 778 3
362 779 4
362 780 4
362 781 5
362 782 4
362 783 4
362 784 4
362 785 4
362 786 5
362 787 5
362 788 4
362 789 4
362 790 6
362 791 4
362 792 5
362 793 3
362 794 3
362 795 6
362 796 5
363 757 3
363 758 5
363 759 5
363 760 4
363 761 5
363 762 4
363 763 4
363 764 5
363 765 4
363 766 5
363 767 4
363 768 4
363 769 5
363 770 4
363 771 3
363 772 4
363 773 4
363 774 5
363 775 3
363 776 4
363 777 4
363 778 4
363 779 6
363 780 4
363 781 6
363 782 5
363 783 5
363 784 4
363 785 5
363 786 5
363 787 4
363 788 3
363 789 5
363 790 6
363 791 5
363 792 4
363 793 4
363 794 5
363 795 4
363 796 5
363 797 4
364 757 5
364 758 4
364 759 5
364 760 4
364 761 5
364 762 4
364 763 4
364 764 4
364 765 5
364 766 5
364 767 5
364 768 4
364 769 4
364 770 4
364 771 4
364 772 4
364 773 4
364 774 4
364 775 4
364 776 4
364 777 3
364 778 4
364 779 5
364 780 3
364 781 4
364 782 4
364 783 4
364 784 4
364 785 5
364 786 6
364 787 5
364 788 4
364 789 5
364 790 5
364 791 4
364 792 5
364 793 4
364 794 3
364 795 4
364 796 4
364 797 4
364 798 4
365 757 5
365 758 4
365 759 5
365 760 4
365 761 5
365 762 4
365 763 5
365 764 5
365 765 4
365 766 4
365 767 4
365 768 5
365 769 4
365 770 5
365 771 5
365 772 5
365 773 5
365 774 4
365 775 4
365 776 6
365 777 4
365 778 6
365 779 5
365 780 5
365 781 5
365 782 5
365 783 5
365 784 6
365 785 5
365 786 4
365 787 4
365 788 5
365 789 5
365 790 5
365 791 4
365 792 4
365 793 4
365 794 5
365 795 4
365 796 4
365 797 3
365 798 5
365 799 5
366 757 5
366 758 5
366 759 5
366 760 4
366 761 5
366 762 5
366 763 4
366 764 4
366 765 5
366 766 5
366 767 5
366 768 5
366 769 4
366 770 4
366 771 4
366 772 4
366 773 5
366 774 5
366 775 6
366 776 5
366 777 5
366 778 4
366 779 5
366 780 4
366 781 5
366 782 4
366 783 5
366 784 4
366 785 4
366 786 6
366 787 5
366 788 3
366 789 4
366 790 6
366 791 6
366 792 5
366 793 5
366 794 5
366 795 4
366 796 4
366 797 5
366 798 5
366 799 5
366 800 5
367 757 4
367 758 5
367 759 4
367 760 5
367 761 5
367 762 4
367 763 5
367 764 4
367 765 5
367 766 4
367 767 5
367 768 6
367 769 4
367 770 5
367 771 4
367 772 4
367 773 5
367 774 5
367 775 4
367 776 6
367 777 3
367 778 5
367 779 5
367 780 4
367 781 5
367 782 5
367 783 3
367 784 5
367 785 5
367 786 4
367 787 4
367 788 5
367 789 4
367 790 6
367 791 4
367 792 5
367 793 5
367 794 4
367 795 5
367 796 5
367 797 5
367 798 4
367 799 4
367 800 5
367 801 5
368 757 5
368 758 5
368 759 5
368 760 5
368 761 4
368 762 5
368 763 5
368 764 4
368 765 6
368 766 3
368 767 4
368 768 5
368 769 5
368 770 6
368 771 5
368 772 4
368 773 5
368 774 4
368 775 5
368 776 5
368 777 3
368 778 6
368 779 4
368 780 4
368 781 5
368 782 4
368 783 4
368 784 4
368 785 4
368 786 4
368 787 5
368 788 4
368 789 4
368 790 4
368 791 4
368 792 5
368 793 5
368 794 4
368 795 3
368 796 5
368 797 3
368 798 5
368 799 4
368 800 5
368 801 5
368 802 4
369 757 4
369 758 4
369 759 5
369 760 4
369 761 5
369 762 5
369 763 4
369 764 5
369 765 4
369 766 4
369 767 4
369 768 4
369 769 5
369 770 3
369 771 5
369 772 4
369 773 6
369 774 5
369 775 4
369 776 6
369 777 3
369 778 5
369 779 6
369 780 3
369 781 5
369 782 4
369 783 4
369 784 5
369 785 4
369 786 4
369 787 5
369 788 5
369 789 5
369 790 4
369 791 5
369 792 4
369 793 5
369 794 3
369 795 4
369 796 4
369 797 5
369 798 4
369 799 4
369 800 5
369 801 6
369 802 4
369 803 5
370 757 4
370 758 4
370 759 5
370 760 4
370 761 5
370 762 5
370 763 5
370 764 5
370 765 3
370 766 6
370 767 6
370 768 5
370 769 4
370 770 5
370 771 4
370 772 4
370 773 6
370 774 4
370 775 3
370 776 5
370 777 6
370 778 4
370 779 4
370 780 4
370 781 5
370 782 4
370 783 4
370 784 4
370 785 4
370 786 5
370 787 4
370 788 5
370 789 5
370 790 3
370 791 3
370 792 3
370 793 4
370 794 5
370 795 5
370 796 5
370 797 6
370 798 4
370 799 6
370 800 5
370 801 4
370 802 5
370 803 6
370 804 5
371 757 5
371 758 4
371 759 5
371 760 4
371 761 4
371 762 4
371 763 4
371 764 4
371 765 4
371 766 4
371 767 5
371 768 4
371 769 5
371 770 4
371 771 5
371 772 6
371 773 5
371 774 4
371 775 6
371 776 4
371 777 5
371 778 5
371 779 5
371 780 3
371 781 5
371 782 5
371 783 4
371 784 5
371 785 4
371 786 4
371 787 4
371 788 7
371 789 5
371 790 5
371 791 5
371 792 4
371 793 5
371 794 5
371 795 4
371 796 5
371 797 4
371 798 4
371 799 4
371 800 6
371 801 3
371 802 5
371 803 5
371 804 5
371 805 4
372 757 5
372 758 3
372 759 6
372 760 5
372 761 3
372 762 5
372 763 6
372 764 4
372 765 4
372 766 5
372 767 5
372 768 4
372 769 4
372 770 5
372 771 4
372 772 3
372 773 5
372 774 4
372 775 4
372 776 4
372 777 4
372 778 3
372 779 4
372 780 3
372 781 5
372 782 4
372 783 4
372 784 5
372 785 5
372 786 4
372 787 5
372 788 4
372 789 6
372 790 4
372 791 4
372 792 4
372 793 5
372 794 6
372 795 6
372 796 4
372 797 3
372 798 6
372 799 4
372 800 4
372 801 5
372 802 5
372 803 5
372 804 6
372 805 5
372 806 5
373 757 5
373 758 4
373 759 4
373 760 4
373 761 3
373 762 5
373 763 4
373 764 5
373 765 5
373 766 5
373 767 5
373 768 4
373 769 4
373 770 3
373 771 4
373 772 4
373 773 3
373 774 4
373 775 5
373 776 4
373 777 4
373 778 4
373 779 4
373 780 4
373 781 4
373 782 4
373 783 4
373 784 4
373 785 4
373 786 5
373 787 5
373 788 3
373 789 3
373 790 5
373 791 5
373 792 3
373 793 4
373 794 5
373 795 4
373 796 6
373 797 4
373 798 4
373 799 3
373 800 6
373 801 4
373 802 5
373 803 5
373 804 4
373 805 3
373 806 5
373 807 5
374 757 5
374 758 4
374 759 6
374 760 3
374 761 5
374 762 4
374 763 4
374 764 5
374 765 6
374 766 4
374 767 4
374 768 5
374 769 4
374 770 4
374 771 4
374 772 4
374 773 6
374 774 3
374 775 3
374 776 5
374 777 5
374 778 2
374 779 5
374 780 4
374 781 4
374 782 5
374 783 4
374 784 4
374 785 6
374 786 4
374 787 5
374 788 3
374 789 4
374 790 4
374 791 5
374 792 4
374 793 5
374 794 5
374 795 4
374 796 4
374 797 5
374 798 5
374 799 5
374 800 6
374 801 6
374 802 5
374 803 4
374 804 4
374 805 4
374 806 6
374 807 4
374 808 6
375 757 4
375 758 5
375 759 4
375 760 4
375 761 4
375 762 4
375 763 4
375 764 5
375 765 4
375 766 4
375 767 4
375 768 4
375 769 6
375 770 5
375 771 5
375 772 6
375 773 3
375 774 5
375 775 4
375 776 6
375 777 4
375 778 4
375 779 5
375 780 5
375 781 5
375 782 5
375 783 4
375 784 5
375 785 6
375 786 3
375 787 6
375 788 4
375 789 4
375 790 5
375 791 4
375 792 4
375 793 4
375 794 5
375 795 5
375 796 5
375 797 5
375 798 6
375 799 4
375 800 5
375 801 5
375 802 4
375 803 5
375 804 5
375 805 4
375 806 4
375 807 5
375 808 6
375 809 4
376 757 5
376 758 4
376 759 3
376 760 4
376 761 4
376 762 5
376 763 5
376 764 5
376 765 5
376 766 4
376 767 4
376 768 5
376 769 4
376 770 4
376 771 6
376 772 4
376 773 5
376 774 5
376 775 4
376 776 5
376 777 4
376 778 5
376 779 3
376 780 5
376 781 4
376 782 5
376 783 4
376 784 4
376 785 4
376 786 5
376 787 4
376 788 5
376 789 4
376 790 5
376 791 5
376 792 5
376 793 5
376 794 5
376 795 5
376 796 4
376 797 5
376 798 5
376 799 6
376 800 4
376 801 4
376 802 4
376 803 4
376 804 5
376 805 4
376 806 3
376 807 5
376 808 5
376 809 5
376 810 4
377 757 4
377 758 4
377 759 4
377 760 4
377 761 5
377 762 4
377 763 4
377 764 4
377 765 4
377 766 5
377 767 5
377 768 5
377 769 4
377 770 3
377 771 4
377 772 4
377 773 5
377 774 3
377 775 4
377 776 4
377 777 6
377 778 4
377 779 4
377 780 5
377 781 5
377 782 3
377 783 5
377 784 3
377 785 5
377 786 4
377 787 4
377 788 4
377 789 5
377 790 4
377 791 4
377 792 4
377 793 4
377 794 4
377 795 4
377 796 4
377 797 5
377 798 5
377 799 3
377 800 5
377 801 4
377 802 5
377 803 5
377 804 5
377 805 4
377 806 5
377 807 5
377 808 5
377 809 3
377 810 5
377 811 5
378 757 4
378 758 5
378 759 5
378 760 4
378 761 3
378 762 4
378 763 5
378 764 6
378 765 5
378 766 3
378 767 5
378 768 6
378 769 5
378 770 5
378 771 5
378 772 3
378 773 4
378 774 7
378 775 4
378 776 5
378 777 4
378 778 4
378 779 5
378 780 4
378 781 4
378 782 3
378 783 5
378 784 4
378 785 5
378 786 5
378 787 7
378 788 4
378 789 5
378 790 5
378 791 5
378 792 4
378 793 4
378 794 4
378 795 3
378 796 5
378 797 5
378 798 5
378 799 6
378 800 3
378 801 4
378 802 5
378 803 5
378 804 5
378 805 4
378 806 5
378 807 3
378 808 5
378 809 3
378 810 4
378 811 4
378 812 5
379 757 4
379 758 5
379 759 3
379 760 5
379 761 5
379 762 5
379 763 5
379 764 4
379 765 5
379 766 5
379 767 5
379 768 3
379 769 5
379 770 6
379 771 5
379 772 5
379 773 4
379 774 4
379 775 4
379 776 4
379 777 5
379 778 2
379 779 4
379 780 4
379 781 5
379 782 5
379 783 4
379 784 4
379 785 4
379 786 6
379 787 5
379 788 2
379 789 5
379 790 5
379 791 6
379 792 5
379 793 4
379 794 5
379 795 4
379 796 3
379 797 5
379 798 5
379 799 4
379 800 3
379 801 4
379 802 5
379 803 4
379 804 5
379 805 5
379 806 6
379 807 4
379 808 3
379 809 4
379 810 6
379 811 4
379 812 5
379 813 5
380 757 4
380 758 5
380 759 5
380 760 5
380 761 4
380 762 5
380 763 5
380 764 4
380 765 5
380 766 4
380 767 5
380 768 5
380 769 4
380 770 5
380 771 5
380 772 4
380 773 4
380 774 5
380 775 5
380 776 5
380 777 5
380 778 5
380 779 5
380 780 4
380 781 5
380 782 5
380 783 5
380 784 4
380 785 3
380 786 4
380 787 6
380 788 6
380 789 6
380 790 5
380 791 6
380 792 5
380 793 6
380 794 4
380 795 5
380 796 2
380 797 4
380 798 4
380 799 5
380 800 5
380 801 5
380 802 4
380 803 4
380 804 5
380 805 5
380 806 4
380 807 4
380 808 5
380 809 4
380 810 4
380 811 6
380 812 4
380 813 4
380 814 5
381 757 4
381 758 4
381 759 6
381 760 5
381 761 6
381 762 5
381 763 6
381 764 5
381 765 6
381 766 5
381 767 4
381 768 4
381 769 5
381 770 6
381 771 5
381 772 4
381 773 5
381 774 4
381 775 5
381 776 5
381 777 4
381 778 5
381 779 5
381 780 5
381 781 4
381 782 4
381 783 4
381 784 6
381 785 4
381 786 5
381 787 4
381 788 4
381 789 6
381 790 4
381 791 5
381 792 4
381 793 5
381 794 5
381 795 4
381 796 4
381 797 5
381 798 4
381 799 5
381 800 4
381 801 5
381 802 5
381 803 5
381 804 6
381 805 3
381 806 3
381 807 5
381 808 6
381 809 5
381 810 5
381 811 5
381 812 5
381 813 5
381 814 4
381 815 4
382 757 5
382 758 5
382 759 3
382 760 5
382 761 5
382 762 4
382 763 4
382 764 4
382 765 3
382 766 5
382 767 5
382 768 3
382 769 5
382 770 5
382 771 4
382 772 5
382 773 4
382 774 4
382 775 3
382 776 5
382 777 5
382 778 4
382 779 5
382 780 4
382 781 3
382 782 4
382 783 5
382 784 4
382 785 4
382 786 5
382 787 4
382 788 4
382 789 4
382 790 4
382 791 5
382 792 4
382 793 5
382 794 4
382 795 5
382 796 5
382 797 5
382 798 6
382 799 5
382 800 3
382 801 4
382 802 5
382 803 6
382 804 4
382 805 5
382 806 4
382 807 4
382 808 5
382 809 4
382 810 5
382 811 4
382 812 5
382 813 5
382 814 4
382 815 4
382 816 4
383 757 4
383 758 4
383 759 4
383 760 3
383 761 5
383 762 4
383 763 3
383 764 5
383 765 4
383 766 5
383 767 4
383 768 4
383 769 4
383 770 4
383 771 4
383 772 5
383 773 4
383 774 5
383 775 5
383 776 5
383 777 6
383 778 4
383 779 4
383 780 5
383 781 4
383 782 4
383 783 4
383 784 4
383 785 4
383 786 4
383 787 4
383 788 5
383 789 4
383 790 4
383 791 6
383 792 5
383 793 4
383 794 4
383 795 6
383 796 5
383 797 5
383 798 3
383 799 4
383 800 2
383 801 5
383 802 4
383 803 4
383 804 3
383 805 6
383 806 5
383 807 5
383 808 3
383 809 3
383 810 4
383 811 5
383 812 5
383 813 5
383 814 4
383 815 5
383 816 5
383 817 4
384 757 4
384 758 5
384 759 5
384 760 4
384 761 4
384 762 3
384 763 5
384 764 5
384 765 5
384 766 5
384 767 5
384 768 4
384 769 5
384 770 6
384 771 4
384 772 5
384 773 5
384 774 4
384 775 5
384 776 4
384 777 6
384 778 6
384 779 5
384 780 5
384 781 4
384 782 4
384 783 6
384 784 5
384 785 5
384 786 4
384 787 5
384 788 4
384 789 4
384 790 5
384 791 4
384 792 4
384 793 5
384 794 5
384 795 5
384 796 4
384 797 5
384 798 6
384 799 4
384 800 5
384 801 5
384 802 3
384 803 4
384 804 4
384 805 5
384 806 4
384 807 4
384 808 5
384 809 4
384 810 5
384 811 4
384 812 5
384 813 4
384 814 6
384 815 5
384 816 4
384 817 4
384 818 5
385 757 5
385 758 6
385 759 5
385 760 5
385 761 4
385 762 4
385 763 4
385 764 3
385 765 4
385 766 7
385 767 4
385 768 5
385 769 5
385 770 6
385 771 5
385 772 4
385 773 4
385 774 5
385 775 4
385 776 4
385 777 5
385 778 5
385 779 4
385 780 4
385 781 5
385 782 4
385 783 5
385 784 5
385 785 5
385 786 5
385 787 4
385 788 4
385 789 5
385 790 4
385 791 4
385 792 5
385 793 4
385 794 3
385 795 5
385 796 4
385 797 4
385 798 4
385 799 5
385 800 5
385 801 4
385 802 5
385 803 4
385 804 3
385 805 5
385 806 4
385 807 5
385 808 4
385 809 5
385 810 3
385 811 4
385 812 4
385 813 6
385 814 4
385 815 3
385 816 4
385 817 3
385 818 4
385 819 6
386 757 4
386 758 5
386 759 6
386 760 5
386 761 5
386 762 4
386 763 6
386 764 4
386 765 4
386 766 5
386 767 4
386 768 4
386 769 3
386 770 4
386 771 5
386 772 4
386 773 4
386 774 4
386 775 5
386 776 4
386 777 3
386 778 4
386 779 4
386 780 4
386 781 4
386 782 6
386 783 4
386 784 4
386 785 5
386 786 5
386 787 3
386 788 4
386 789 4
386 790 6
386 791 5
386 792 5
386 793 5
386 794 6
386 795 5
386 796 6
386 797 5
386 798 3
386 799 5
386 800 5
386 801 5
386 802 4
386 803 5
386 804 4
386 805 4
386 806 3
386 807 5
386 808 5
386 809 4
386 810 4
386 811 5
386 812 6
386 813 4
386 814 5
386 815 5
386 816 6
386 817 3
386 818 6
386 819 5
386 820 5
387 757 4
387 758 5
387 759 4
387 760 6
387 761 5
387 762 5
387 763 4
387 764 5
387 765 4
387 766 5
387 767 4
387 768 5
387 769 3
387 770 4
387 771 5
387 772 6
387 773 4
387 774 4
387 775 5
387 776 5
387 777 4
387 778 6
387 779 6
387 780 4
387 781 6
387 782 4
387 783 5
387 784 6
387 785 4
387 786 5
387 787 5
387 788 4
387 789 5
387 790 5
387 791 3
387 792 3
387 793 3
387 794 4
387 795 5
387 796 4
387 797 6
387 798 5
387 799 4
387 800 5
387 801 4
387 802 4
387 803 4
387 804 5
387 805 4
387 806 4
387 807 5
387 808 5
387 809 4
387 810 5
387 811 4
387 812 5
387 813 5
387 814 4
387 815 4
387 816 4
387 817 5
387 818 4
387 819 4
387 820 4
387 821 4
388 757 5
388 758 5
388 759 3
388 760 4
388 761 5
388 762 4
388 763 4
388 764 3
388 765 4
388 766 5
388 767 5
388 768 5
388 769 5
388 770 4
388 771 5
388 772 6
388 773 5
388 774 5
388 775 5
388 776 4
388 777 4
388 778 4
388 779 5
388 780 6
388 781 4
388 782 5
388 783 5
388 784 5
388 785 4
388 786 5
388 787 5
388 788 5
388 789 4
388 790 5
388 791 4
388 792 4
388 793 5
388 794 4
388 795 4
388 796 4
388 797 4
388 798 5
388 799 5
388 800 5
388 801 4
388 802 5
388 803 5
388 804 5
388 805 5
388 806 5
388 807 5
388 808 6
388 809 5
388 810 5
388 811 5
388 812 5
388 813 4
388 814 4
388 815 4
388 816 4
388 817 5
388 818 5
388 819 4
388 820 5
388 821 4
388 822 5
389 757 3
389 758 4
389 759 4
389 760 4
389 761 4
389 762 6
389 763 4
389 764 5
389 765 4
389 766 4
389 767 4
389 768 4
389 769 4
389 770 4
389 771 4
389 772 5
389 773 5
389 774 4
389 775 4
389 776 3
389 777 5
389 778 5
389 779 4
389 780 5
389 781 5
389 782 4
389 783 5
389 784 3
389 785 5
389 786 5
389 787 5
389 788 6
389 789 4
389 790 3
389 791 3
389 792 6
389 793 5
389 794 5
389 795 5
389 796 4
389 797 6
389 798 4
389 799 5
389 800 5
389 801 5
389 802 3
389 803 5
389 804 5
389 805 3
389 806 5
389 807 5
389 808 4
389 809 3
389 810 5
389 811 5
389 812 4
389 813 5
389 814 4
389 815 5
389 816 4
389 817 5
389 818 5
389 819 4
389 820 4
389 821 5
389 822 5
389 823 4
390 757 5
390 758 4
390 759 3
390 760 4
390 761 5
390 762 4
390 763 5
390 764 4
390 765 4
390 766 4
390 767 4
390 768 5
390 769 5
390 770 5
390 771 4
390 772 4
390 773 4
390 774 6
390 775 4
390 776 4
390 777 4
390 778 3
390 779 3
390 780 4
390 781 3
390 782 5
390 783 5
390 784 3
390 785 3
390 786 5
390 787 4
390 788 4
390 789 5
390 790 5
390 791 4
390 792 5
390 793 4
390 794 4
390 795 5
390 796 5
390 797 4
390 798 4
390 799 5
390 800 4
390 801 5
390 802 6
390 803 4
390 804 4
390 805 4
390 806 4
390 807 5
390 808 4
390 809 5
